date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:53:01	16309/16309	U--MC-	200	updated ('OK')	text/html	date:Tue,%2004%20Apr%202017%2010:52:59%20GMT	http://localhost/Documentation/protocols/file-cache-protocol/	D:/Projects/BaseSystem/Documentation/Protocols/Protocols/localhost/Documentation/protocols/file-cache-protocol/index.html	(from http://localhost/Documentation/protocols/overview/)
12:53:01	753/753	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%222d7-54be3fe57e1db%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/js/skip-link-focus-fix.js?ver=20141010	D:/Projects/BaseSystem/Documentation/Protocols/Protocols/localhost/Documentation/wp-content/themes/twentyfifteen/js/skip-link-focus-fixd01e.js	(from http://localhost/Documentation/protocols/overview/)
12:53:02	6098/6098	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%221720-54be3fe565a2f%22	http://localhost/Documentation/wp-content/themes/twentyfifteen/js/functions.js?ver=20150330	D:/Projects/BaseSystem/Documentation/Protocols/Protocols/localhost/Documentation/wp-content/themes/twentyfifteen/js/functions8337.js	(from http://localhost/Documentation/protocols/overview/)
12:53:02	1398/1398	U-----	200	untouched ('')	application/javascript	etag:%22576-54be3ffcb7946%22	http://localhost/Documentation/wp-includes/js/wp-embed.min.js?ver=4.7.3	D:/Projects/BaseSystem/Documentation/Protocols/Protocols/localhost/Documentation/wp-includes/js/wp-embed.minfe9d.js	(from http://localhost/Documentation/protocols/overview/)
12:53:02	11621/11621	U--MC-	200	updated ('OK')	text/html	date:Tue,%2004%20Apr%202017%2010:53:00%20GMT	http://localhost/Documentation/protocols/qa-protocol/	D:/Projects/BaseSystem/Documentation/Protocols/Protocols/localhost/Documentation/protocols/qa-protocol/index.html	(from http://localhost/Documentation/protocols/overview/)
12:53:02	22374/22374	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%225766-54be50064595b%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.eot	D:/Projects/BaseSystem/Documentation/Protocols/Protocols/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.eot	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
12:53:02	10624/10624	U--MC-	200	updated ('OK')	text/html	date:Tue,%2004%20Apr%202017%2010:53:01%20GMT	http://localhost/Documentation/protocols/event-protocol/	D:/Projects/BaseSystem/Documentation/Protocols/Protocols/localhost/Documentation/protocols/event-protocol/index.html	(from http://localhost/Documentation/protocols/overview/)
12:53:03	22374/22374	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%225766-54be50064595b%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.eot?	D:/Projects/BaseSystem/Documentation/Protocols/Protocols/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericonsd41d.eot	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
12:53:03	76980/76980	U-----	200	untouched ('OK')	image/svg+xml	etag:%2212cb4-54be500647c88%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.svg	D:/Projects/BaseSystem/Documentation/Protocols/Protocols/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.svg	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
12:53:03	7520/7520	U-----	200	untouched ('')	image/png	etag:%221d60-54c18c61a337c%22	http://localhost/Documentation/wp-content/uploads/2017/04/Sequenzdiagramm-300x249.png	D:/Projects/BaseSystem/Documentation/Protocols/Protocols/localhost/Documentation/wp-content/uploads/2017/04/Sequenzdiagramm-300x249.png	(from http://localhost/Documentation/protocols/file-cache-protocol/)
12:53:03	22188/22188	U-----	200	untouched ('')	application/x-font-ttf	etag:%2256ac-54be500649fb8%22	http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.ttf	D:/Projects/BaseSystem/Documentation/Protocols/Protocols/localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/Genericons.ttf	(from http://localhost/Documentation/wp-content/plugins/jetpack/_inc/genericons/genericons/genericons.css?ver=3.1)
